Voltage_main,Voltage_secondary,Current_main,Current_secondary,Temperature_main,Temperature_secondary
9,389,19,953,23,950
9,543,12,117,3,779
9,665,24,26,4,47
8,382,3,78,4,261
8,130,22,444,9,73
9,540,9,395,97,802
9,524,9,999,21,544
850,882,7,381,34,914
9,236,21,163,4,799
8,957,15,733,2,128
7,641,62,957,5,431
8,860,4,517,47,752
9,66,6,531,38,274
8,260,46,215,33,63
9,371,6,270,7,95
9,322,9,507,12,444
8,163,34,677,1,697
8,982,7,921,26,405
8,257,8,470,3,546
7,907,32,961,3,320
9,816,4,262,46,709
9,93,9,55,21,822
9,872,6,452,5,251
8,335,8,822,2,40
8,171,2,504,26,330
8,462,9,708,2,954
8,671,4,587,12,457
9,803,9,59,5,57
9,967,4,352,30,404
9,192,7,16,25,317
9,715,6,780,25,411
9,402,28,686,3,222
9,200,3,929,40,338
9,510,2,790,22,427
8,758,6,991,38,776
8,811,3,904,46,824
8,851,32,869,30,706
9,225,3,742,48,622
9,894,5,920,5,162
7,759,9,965,10,313
9,404,41,63,5,268
8,697,18,225,4,80
755,381,4,280,4,43
9,418,5,307,2,23
8,347,7,333,30,271
7,890,2,380,43,278
8,494,4,781,14,895
9,59,3,366,48,667
9,236,5,822,43,160
7,575,9,174,42,740
8,948,9,179,4,535
9,48,8,556,3,907
8,926,39,591,44,854
9,980,5,646,1,314
8,916,31,617,44,546
9,124,3,141,13,740
9,774,2,274,2,778
8,342,47,822,47,493
7,558,9,293,41,772
9,968,21,240,26,506
9,692,8,536,19,936
8,881,7,557,13,104
9,983,6,497,3,65
8,183,46,881,3,939
8,482,5,117,2,874
8,880,5,711,4,779
778,672,8,336,5,517
8,356,6,972,35,193
9,974,34,991,4,142
9,507,38,615,21,297
9,285,17,701,36,659
7,524,33,931,5,177
9,347,7,727,1,961
9,773,26,308,31,203
7,590,23,900,48,627
8,228,9,451,10,73
9,15,5,944,31,127
9,521,44,878,46,136
8,768,9,709,33,376
8,469,5,35,26,727
9,764,3,965,18,160
9,451,2,745,42,680
9,412,7,186,6,655
8,734,5,5,2,807
9,889,8,630,3,572
8,713,33,708,9,291
9,463,11,338,2,238
9,494,8,683,44,963
8,756,6,314,2,890
9,560,6,44,3,598
8,588,22,388,31,11
9,959,4,809,47,358
8,486,9,806,14,822
9,280,46,124,3,8
7,902,9,399,4,588
9,273,7,732,35,957
7,509,7,78,3,55
8,842,7,115,13,546
8,984,7,395,36,230
9,91,6,247,3,296
8,64,8,190,2,446
7,547,3,647,42,251
8,289,7,487,8,862
8,576,7,747,2,245
9,706,6,196,15,751
8,917,6,962,1,957
9,540,9,795,22,742
9,112,5,938,5,288
9,162,6,491,11,269
9,286,6,473,3,867
7,625,6,528,222,209
8,919,46,937,20,908
9,377,4,618,3,25
9,695,8,294,17,759
8,315,6,64,26,41
847,22,6,475,5,69
8,52,8,258,25,517
9,537,5,608,1,570
756,169,3,353,5,573
8,872,7,951,3,164
9,830,9,738,1,602
8,439,8,948,4,341
9,620,32,205,4,11
9,91,9,459,2,73
8,191,8,950,41,748
7,887,7,622,4,571
8,193,5,586,4,667
8,803,15,290,34,636
9,19,5,129,3,371
7,947,49,561,21,89
8,313,5,64,4,918
8,718,5,24,14,79
9,494,8,480,3,827
807,560,8,942,9,634
9,114,32,41,7,230
9,498,7,479,2,981
765,530,3,671,23,475
8,451,41,844,3,356
7,786,7,823,16,301
9,680,8,182,12,27
8,745,9,211,20,452
9,862,3,275,43,248
8,79,7,876,4,50
9,754,17,731,47,355
8,450,9,535,4,517
849,384,8,849,1,757
7,752,27,727,31,156
9,556,3,861,5,57
8,22,9,213,4,815
9,69,7,576,41,297
7,688,5,385,23,631
9,889,21,212,38,834
8,858,9,826,3,463
8,734,9,125,3,623
9,430,6,27,5,332
8,265,5,198,33,39
8,269,19,378,11,781
8,290,3,291,40,870
9,256,6,114,4,523
8,944,6,364,22,169
9,370,5,152,31,643
9,424,8,366,5,422
8,861,5,503,2,671
8,504,47,317,5,87
7,848,8,0,17,179
7,754,5,98,2,111
9,182,22,394,3,924
9,842,28,973,2,974
8,665,4,525,9,997
8,65,1,416,17,438
795,419,16,979,4,48
9,423,2,862,19,196
8,366,1,387,7,917
9,167,5,692,14,853
8,239,7,423,5,619
8,44,9,743,27,984
8,845,44,362,17,412
8,817,9,412,14,590
9,487,4,229,2,446
9,300,8,517,20,79
9,507,5,883,20,282
9,554,7,513,38,282
9,738,3,811,4,123
8,19,6,727,18,575
9,700,6,20,11,641
8,422,3,498,1,505
9,445,45,624,5,652
8,946,3,532,3,16
8,724,17,407,2,414
8,600,9,316,23,707
7,697,33,517,3,582
9,255,4,71,166,13
9,311,7,772,37,266
9,307,16,119,2,734
9,702,7,543,3,839
7,709,6,412,25,448
7,613,7,264,5,680
9,854,5,669,2,539
8,277,6,43,4,286
8,942,6,539,39,165
7,722,9,23,3,685
8,730,18,71,29,430
9,169,7,309,29,940
8,888,8,181,53,283
9,676,27,347,13,524
7,968,7,60,4,580
827,899,9,436,16,721
8,852,18,63,46,952
9,794,3,309,6,729
8,860,44,332,28,838
8,930,4,937,31,281
9,495,32,150,19,87
9,891,29,369,39,398
792,905,27,712,5,292
8,400,48,953,11,842
8,389,34,121,32,937
7,954,2,857,4,956
9,345,8,847,2,27
8,910,6,191,23,325
8,202,7,1,44,154
8,705,4,36,4,736
9,536,8,311,16,366
7,965,16,104,3,537
9,172,21,754,4,830
8,461,9,683,4,893
8,418,3,183,4,424
8,457,38,729,32,934
9,352,5,669,17,27
7,600,4,400,5,632
828,821,36,653,2,196
9,33,22,958,16,687
8,312,7,475,26,159
8,460,5,701,3,80
8,222,24,707,6,147
7,667,25,558,10,107
8,566,6,751,27,528
8,899,7,889,4,618
9,78,4,35,5,449
9,796,7,637,7,196
9,214,46,709,2,950
780,31,2,341,28,489
9,818,6,797,22,608
8,242,18,879,27,863
8,394,8,939,2,563
7,540,8,794,5,631
9,370,9,279,47,918
9,858,9,198,36,199
7,903,8,710,40,403
8,77,4,482,18,756
9,185,5,297,16,738
9,40,6,705,8,441
9,332,5,319,30,47
8,767,5,987,5,295
7,937,8,137,19,125
7,756,5,240,10,759
9,783,1,485,4,118
9,763,44,98,25,788
9,662,46,507,1,913
7,643,5,65,5,343
9,745,5,843,4,303
9,618,9,256,5,41
8,938,7,698,3,683
8,307,4,463,6,305
8,756,30,473,180,892
9,832,9,745,234,479
9,133,3,139,12,704
7,667,5,548,45,601
9,876,11,922,16,708
8,794,6,169,36,961
8,892,9,633,28,260
8,854,7,99,49,231
8,50,39,534,1,898
8,5,15,760,5,522
9,791,7,557,20,10
789,264,2,973,43,462
9,123,7,239,8,180
9,477,22,409,5,117
9,811,87,250,6,311
9,179,8,476,42,534
8,731,8,460,11,794
8,842,5,956,5,704
8,996,41,344,4,760
7,855,5,866,16,675
7,702,8,615,1,309
7,729,33,972,5,97
9,908,6,388,48,927
7,787,9,813,3,841
9,571,21,712,22,529
9,718,6,240,3,402
7,691,2,216,44,731
7,547,7,150,48,145
8,325,27,373,4,858
7,696,6,997,4,435
8,541,8,253,1,198
7,555,46,279,3,803
8,10,7,461,28,206
9,547,4,858,5,649
8,186,7,414,47,361
8,914,6,317,6,196
7,526,5,54,16,267
9,280,9,669,5,698
8,764,48,558,5,695
8,486,6,935,34,773
7,641,6,946,6,675
8,987,8,946,16,451
9,544,5,584,3,830
7,824,9,832,5,527
9,48,44,175,19,322
8,801,8,639,23,381
8,482,2,612,4,878
8,54,5,688,5,628
9,378,9,506,4,185
7,589,18,999,17,415
8,806,8,616,17,343
9,493,1,360,5,598
7,695,6,580,3,993
8,259,5,488,2,645
8,831,3,732,17,68
9,908,43,93,4,780
8,848,36,178,34,115
9,517,29,718,28,938
9,668,11,758,45,737
9,77,4,592,19,971
8,181,1,191,9,197
81,300,5,52,43,620
7,942,19,992,5,560
834,309,19,434,33,784
8,168,12,425,42,929
9,455,2,395,42,922
7,621,3,476,2,901
7,706,4,671,31,746
8,24,9,108,1,327
8,718,2,962,40,870
9,836,7,244,40,952
9,765,32,872,5,215
9,960,4,757,27,680
8,144,33,42,2,950
7,789,3,807,3,995
7,891,7,82,39,945
8,549,5,99,2,194
8,315,2,956,10,332
9,443,36,872,3,235
9,933,22,697,22,564
8,574,19,210,28,993
7,842,3,655,23,257
9,17,44,55,27,512
80,243,8,684,9,25
8,796,37,253,28,572
782,863,2,285,2,762
9,178,5,242,38,795
7,759,3,962,2,814
9,668,9,525,5,71
8,993,30,416,9,844
7,921,28,947,8,352
7,900,9,57,5,166
8,284,46,72,8,570
9,245,5,724,5,489
9,961,33,187,5,76
9,206,4,401,24,526
7,742,8,917,3,667
9,924,28,675,49,737
9,712,5,596,22,33
8,265,8,623,4,998
9,146,5,445,39,840
9,45,1,544,26,472
8,441,7,667,3,418
8,386,2,60,5,308
9,379,5,4,23,174
9,509,8,479,42,607
7,528,7,376,3,231
8,504,3,397,2,218
8,50,27,113,3,566
8,103,6,861,15,227
8,744,12,737,4,459
8,120,2,637,41,386
7,793,5,615,18,638
9,141,2,502,7,496
7,970,5,844,31,262
8,329,5,675,3,298
8,11,32,967,22,726
8,468,7,786,4,994
8,924,7,669,10,348
9,182,9,968,3,475
8,765,38,32,3,296
8,507,19,968,5,319
